UID,Friends,Enemies,Karma,ForumPosts,Detail,Description,Until,Networth,Played
195,1,21,0,8,Account marked for deletion,In federal jail permanently,1851292800,10845552,170348
494,0,0,0,251,account marked for deletion,In federal jail permanently,1851292800,62901681,120
1162,0,0,0,0,Account marked for deletion,In federal jail permanently,1851292800,24952949,0
2382,4,37,0,153,Account held until further notice,In federal jail temporarily,1822521600,5862665,17519
2935,1,4,0,227,Compromising an Account,In federal jail permanently,1851292800,-2474901043,969201
2938,5,1,0,68,Account marked for deletion,In federal jail permanently,1851292800,2382365522,125321
3886,10,28,0,719,Staff see notes,In federal jail permanently,1851292800,8157768,142126
7191,0,0,0,5,Account marked for deletion,In federal jail permanently,1851292800,-4629585,0
7418,11,24,0,574,Account marked for deletion,In federal jail permanently,1851292800,568048482,1923090
9166,6,6,0,1343,Account marked for deletion,In federal jail permanently,1851292800,218433576,198550
9772,37,4,0,1165,Account held until further notice,In federal jail temporarily,1822521600,376002535,154803
9915,3,2,0,2,Account marked for deletion,In federal jail permanently,1851292800,57052730,0
10565,11,7,0,2727,RMT,In federal jail permanently,1851292800,1476167804,514118
10622,2,2,0,36,Account marked for deletion,In federal jail permanently,1851292800,5174576,299411
10764,13,6,0,153,Account held until further notice,In federal jail temporarily,1822521600,11515727157,998186
12152,81,21,7,364,Account marked for deletion,In federal jail permanently,1851292800,14877589835,15477332
13022,14,37,16,95,Account marked for deletion,In federal jail permanently,1851292800,355140869,3722110
13074,0,2,0,35,Account marked for deletion,In federal jail permanently,1851292800,78927344,0
16010,57,15,0,6779,Account marked for deletion,In federal jail permanently,1851292800,22219607,395976
16084,2,1,0,1,Account marked for deletion,In federal jail permanently,1851292800,187389167,5632
16473,5,1,0,256,Account marked for deletion,In federal jail permanently,1851292800,17170989,0
16708,22,19,0,205,Bug Abuse,In federal jail permanently,1851292800,90929143,2026210
16772,4,2,0,21,Account marked for deletion,In federal jail permanently,1851292800,3150749436,135265
17117,5,4,0,1143,Account marked for deletion,In federal jail permanently,1851292800,1972355519,4036
17252,31,14,1,549,RMT,In federal jail permanently,1851292800,250272783613,3622037
18908,35,28,0,60,Account marked for deletion,In federal jail permanently,1851292800,-395120086,2364175
19834,0,0,0,3,Staff See Notes,In federal jail permanently,1851292800,419882085,180
20433,3,0,0,15,Account marked for deletion,In federal jail permanently,1851292800,26879553,442
20855,3,4,0,122,Account marked for deletion,In federal jail permanently,1851292800,24441645,0
21439,126,41,0,5993,Account marked for deletion,In federal jail permanently,1851292800,3580042537,2647835
