fac1,fac2,fac1_name,fac2_name,wstart,wid,week,fac1_total,fac1_okay,fac1_hosp,fac1_travel,fac1_jail,fac1_pct,fac2_total,fac2_okay,fac2_hosp,fac2_travel,fac2_jail,fac2_pct,timestamp
37537,41777,The Regiment,The Swarm,1741219200,22927,2025_10,17,0,13,4,0,0,11,2,9,0,0,0.18,1741221011.83464
47835,50418,Frogs of Fortune,The UnderDogz,1741219200,22859,2025_10,22,8,14,0,0,0.36,15,0,13,2,0,0,1741221011.83464
37537,41777,The Regiment,The Swarm,1741219200,22927,2025_10,17,3,10,3,0,0.18,11,3,8,0,0,0.27,1741222811.78418
47835,50418,Frogs of Fortune,The UnderDogz,1741219200,22859,2025_10,22,6,16,0,0,0.27,15,0,13,2,0,0,1741222811.78418
37537,41777,The Regiment,The Swarm,1741219200,22927,2025_10,17,2,12,2,0,0.12,11,4,7,0,0,0.36,1741224611.17219
47835,50418,Frogs of Fortune,The UnderDogz,1741219200,22859,2025_10,22,2,20,0,0,0.09,15,0,13,2,0,0,1741224611.17219
47042,49666,Risky Business,THE SALT-BORN,1741226400,23025,2025_10,18,14,2,1,0,0.78,14,12,0,1,0,0.86,1741226412.60801
37537,41777,The Regiment,The Swarm,1741219200,22927,2025_10,17,1,13,1,0,0.06,11,3,8,0,0,0.27,1741226412.60801
47835,50418,Frogs of Fortune,The UnderDogz,1741219200,22859,2025_10,22,3,19,0,0,0.14,15,0,13,2,0,0,1741226412.60801
47042,49666,Risky Business,THE SALT-BORN,1741226400,23025,2025_10,18,15,1,1,0,0.83,14,1,11,2,0,0.07,1741228212.15216
37537,41777,The Regiment,The Swarm,1741219200,22927,2025_10,17,2,12,1,0,0.12,11,3,8,0,0,0.27,1741228212.15216
47835,50418,Frogs of Fortune,The UnderDogz,1741219200,22859,2025_10,22,3,19,0,0,0.14,15,0,12,3,0,0,1741228212.15216
47042,49666,Risky Business,THE SALT-BORN,1741226400,23025,2025_10,18,15,2,1,0,0.83,14,6,7,1,0,0.43,1741230011.79675
37537,41777,The Regiment,The Swarm,1741219200,22927,2025_10,17,1,13,1,0,0.06,11,4,7,0,0,0.36,1741230011.79675
53109,53236,Cali Cartel,Small Warring Faction,1741230000,22897,2025_10,20,17,1,2,0,0.85,15,12,0,2,0,0.8,1741230011.79675
47835,50418,Frogs of Fortune,The UnderDogz,1741219200,22859,2025_10,22,4,18,0,0,0.18,15,0,12,3,0,0,1741230011.79675
47042,49666,Risky Business,THE SALT-BORN,1741226400,23025,2025_10,18,15,1,1,0,0.83,14,5,8,1,0,0.36,1741231810.66014
37537,41777,The Regiment,The Swarm,1741219200,22927,2025_10,17,2,12,1,0,0.12,11,1,10,0,0,0.09,1741231810.66014
53109,53236,Cali Cartel,Small Warring Faction,1741230000,22897,2025_10,20,12,3,5,0,0.6,15,2,11,1,0,0.13,1741231810.66014
47835,50418,Frogs of Fortune,The UnderDogz,1741219200,22859,2025_10,22,2,20,0,0,0.09,15,2,10,2,0,0.13,1741231810.66014
47042,49666,Risky Business,THE SALT-BORN,1741226400,23025,2025_10,18,12,4,2,0,0.67,14,5,8,1,0,0.36,1741233612.70617
37537,41777,The Regiment,The Swarm,1741219200,22927,2025_10,17,7,6,2,0,0.41,11,1,10,0,0,0.09,1741233612.70617
49739,51011,Obscure -Recruiting-,The Crazy Horses,1741233600,22904,2025_10,14,6,2,5,0,0.43,12,11,1,0,0,0.92,1741233612.70617
53109,53236,Cali Cartel,Small Warring Faction,1741230000,22897,2025_10,20,0,17,3,0,0,15,5,8,2,0,0.33,1741233612.70617
47835,50418,Frogs of Fortune,The UnderDogz,1741219200,22859,2025_10,22,2,20,0,0,0.09,15,0,12,2,0,0,1741233612.70617
47042,49666,Risky Business,THE SALT-BORN,1741226400,23025,2025_10,18,15,1,2,0,0.83,14,1,13,0,0,0.07,1741235410.17691
37537,41777,The Regiment,The Swarm,1741219200,22927,2025_10,17,0,12,3,0,0,11,3,8,0,0,0.27,1741235410.17691
49739,51011,Obscure -Recruiting-,The Crazy Horses,1741233600,22904,2025_10,14,6,2,4,0,0.43,12,5,3,3,0,0.42,1741235410.17691
53109,53236,Cali Cartel,Small Warring Faction,1741230000,22897,2025_10,20,3,15,2,0,0.15,15,4,9,2,0,0.27,1741235410.17691
47835,50418,Frogs of Fortune,The UnderDogz,1741219200,22859,2025_10,22,3,19,0,0,0.14,15,0,12,2,0,0,1741235410.17691
47042,49666,Risky Business,THE SALT-BORN,1741226400,23025,2025_10,18,15,2,1,0,0.83,14,2,12,0,0,0.14,1741237210.15241
50278,52357,Faygo Gang,Mystic Marauders,1741237200,22959,2025_10,11,9,2,0,0,0.82,11,9,0,0,0,0.82,1741237210.15241
37537,41777,The Regiment,The Swarm,1741219200,22927,2025_10,17,1,9,5,0,0.06,11,2,9,0,0,0.18,1741237210.15241
49739,51011,Obscure -Recruiting-,The Crazy Horses,1741233600,22904,2025_10,14,7,1,3,0,0.5,12,4,3,5,0,0.33,1741237210.15241
44222,53366,Begal,Velobytes Network,1741237200,22899,2025_10,15,15,0,0,0,1,11,11,0,0,0,1,1741237210.15241
53109,53236,Cali Cartel,Small Warring Faction,1741230000,22897,2025_10,20,0,17,2,0,0,15,9,5,1,0,0.6,1741237210.15241
47835,50418,Frogs of Fortune,The UnderDogz,1741219200,22859,2025_10,22,2,20,0,0,0.09,15,1,10,2,0,0.07,1741237210.15241
47042,49666,Risky Business,THE SALT-BORN,1741226400,23025,2025_10,18,11,6,1,0,0.61,14,1,13,0,0,0.07,1741239010.13312
50278,52357,Faygo Gang,Mystic Marauders,1741237200,22959,2025_10,11,3,8,0,0,0.27,11,8,1,2,0,0.73,1741239010.13312
37537,41777,The Regiment,The Swarm,1741219200,22927,2025_10,17,4,6,4,0,0.24,11,1,10,0,0,0.09,1741239010.13312
49739,51011,Obscure -Recruiting-,The Crazy Horses,1741233600,22904,2025_10,14,2,7,2,0,0.14,12,6,2,4,0,0.5,1741239010.13312
44222,53366,Begal,Velobytes Network,1741237200,22899,2025_10,15,7,8,0,0,0.47,11,9,1,1,0,0.82,1741239010.13312
53109,53236,Cali Cartel,Small Warring Faction,1741230000,22897,2025_10,20,2,15,3,0,0.1,15,5,8,2,0,0.33,1741239010.13312
47835,50418,Frogs of Fortune,The UnderDogz,1741219200,22859,2025_10,22,2,20,0,0,0.09,15,1,11,1,0,0.07,1741239010.13312
47042,49666,Risky Business,THE SALT-BORN,1741226400,23025,2025_10,18,11,6,1,0,0.61,14,5,9,0,0,0.36,1741240810.79863
50278,52357,Faygo Gang,Mystic Marauders,1741237200,22959,2025_10,11,2,9,0,0,0.18,11,8,1,2,0,0.73,1741240810.79863
37537,41777,The Regiment,The Swarm,1741219200,22927,2025_10,17,9,2,3,0,0.53,11,0,11,0,0,0,1741240810.79863
49739,51011,Obscure -Recruiting-,The Crazy Horses,1741233600,22904,2025_10,14,3,5,2,0,0.21,12,7,1,4,0,0.58,1741240810.79863
44222,53366,Begal,Velobytes Network,1741237200,22899,2025_10,15,9,6,0,0,0.6,11,10,0,1,0,0.91,1741240810.79863
53109,53236,Cali Cartel,Small Warring Faction,1741230000,22897,2025_10,20,1,17,1,0,0.05,15,9,5,0,0,0.6,1741240810.79863
47835,50418,Frogs of Fortune,The UnderDogz,1741219200,22859,2025_10,22,2,20,0,0,0.09,15,5,6,1,0,0.33,1741240810.79863
47042,49666,Risky Business,THE SALT-BORN,1741226400,23025,2025_10,18,12,5,1,0,0.67,14,7,7,0,0,0.5,1741242613.26229
50278,52357,Faygo Gang,Mystic Marauders,1741237200,22959,2025_10,11,1,10,0,0,0.09,11,8,0,2,0,0.73,1741242613.26229
37537,41777,The Regiment,The Swarm,1741219200,22927,2025_10,17,10,1,3,0,0.59,11,0,11,0,0,0,1741242613.26229
49739,51011,Obscure -Recruiting-,The Crazy Horses,1741233600,22904,2025_10,14,2,7,2,0,0.14,12,7,1,4,0,0.58,1741242613.26229
44222,53366,Begal,Velobytes Network,1741237200,22899,2025_10,15,14,1,0,0,0.93,11,7,4,0,0,0.64,1741242613.26229
53109,53236,Cali Cartel,Small Warring Faction,1741230000,22897,2025_10,20,13,6,1,0,0.65,15,7,5,3,0,0.47,1741242613.26229
47835,50418,Frogs of Fortune,The UnderDogz,1741219200,22859,2025_10,22,3,19,0,0,0.14,15,4,6,2,0,0.27,1741242613.26229
47042,49666,Risky Business,THE SALT-BORN,1741226400,23025,2025_10,18,10,7,1,0,0.56,14,7,7,0,0,0.5,1741244412.12862
50278,52357,Faygo Gang,Mystic Marauders,1741237200,22959,2025_10,11,1,10,0,0,0.09,11,8,0,2,0,0.73,1741244412.12862
37537,41777,The Regiment,The Swarm,1741219200,22927,2025_10,17,9,2,3,0,0.53,11,0,11,0,0,0,1741244412.12862
49739,51011,Obscure -Recruiting-,The Crazy Horses,1741233600,22904,2025_10,14,2,6,2,0,0.14,12,6,2,4,0,0.5,1741244412.12862
44222,53366,Begal,Velobytes Network,1741237200,22899,2025_10,15,11,4,0,0,0.73,11,7,3,1,0,0.64,1741244412.12862
53109,53236,Cali Cartel,Small Warring Faction,1741230000,22897,2025_10,20,1,16,2,0,0.05,15,6,5,3,0,0.4,1741244412.12862
52932,53254,Elite Hunters,New Horizon,1741244400,22882,2025_10,19,16,1,0,0,0.84,24,18,3,3,0,0.75,1741244412.12862
47835,50418,Frogs of Fortune,The UnderDogz,1741219200,22859,2025_10,22,5,17,0,0,0.23,15,3,7,2,0,0.2,1741244412.12862
47042,49666,Risky Business,THE SALT-BORN,1741226400,23025,2025_10,18,11,6,0,0,0.61,14,10,4,0,0,0.71,1741246211.53863
50278,52357,Faygo Gang,Mystic Marauders,1741237200,22959,2025_10,11,4,7,0,0,0.36,11,9,1,1,0,0.82,1741246211.53863
37537,41777,The Regiment,The Swarm,1741219200,22927,2025_10,17,8,2,5,0,0.47,11,0,11,0,0,0,1741246211.53863
49739,51011,Obscure -Recruiting-,The Crazy Horses,1741233600,22904,2025_10,14,2,4,4,0,0.14,12,7,1,4,0,0.58,1741246211.53863
44222,53366,Begal,Velobytes Network,1741237200,22899,2025_10,15,11,4,0,0,0.73,11,8,2,1,0,0.73,1741246211.53863
