fac1,fac2,fac1_name,fac2_name,wstart,wid,week,fac1_total,fac1_okay,fac1_hosp,fac1_travel,fac1_jail,fac1_pct,fac2_total,fac2_okay,fac2_hosp,fac2_travel,fac2_jail,fac2_pct,timestamp
44746,52835,After-Death,Assbeater Bozos,1738195200,21800,2025_5,11,7,4,0,0,0.64,10,7,3,0,0,0.7,1738197017.56577
49167,49450,RHINO&#039;S CARTEL BR,The Couch Potatoes,1738195200,21679,2025_5,34,11,18,5,0,0.32,26,0,8,14,0,0,1738197017.56577
50424,51307,Ethereal Blade,The Street Rats,1738195200,21668,2025_5,11,1,9,0,0,0.09,14,11,1,0,0,0.79,1738197017.56577
49650,52043,Nebula,Hellfire Syndicate,1738195200,21606,2025_5,19,6,11,2,0,0.32,15,2,10,2,0,0.13,1738197017.56577
44746,52835,After-Death,Assbeater Bozos,1738195200,21800,2025_5,11,7,4,0,0,0.64,10,10,0,0,0,1,1738198815.67654
49167,49450,RHINO&#039;S CARTEL BR,The Couch Potatoes,1738195200,21679,2025_5,34,9,20,4,0,0.26,26,0,9,13,0,0,1738198815.67654
50424,51307,Ethereal Blade,The Street Rats,1738195200,21668,2025_5,11,3,7,0,0,0.27,14,11,0,1,0,0.79,1738198815.67654
50783,52627,Army of Terror HQ,Demon Sky,1738198800,21652,2025_5,17,16,0,1,0,0.94,17,12,5,0,0,0.71,1738198815.67654
49650,52043,Nebula,Hellfire Syndicate,1738195200,21606,2025_5,19,4,12,3,0,0.21,15,2,9,3,0,0.13,1738198815.67654
44746,52835,After-Death,Assbeater Bozos,1738195200,21800,2025_5,11,7,4,0,0,0.64,10,10,0,0,0,1,1738200614.57469
49167,49450,RHINO&#039;S CARTEL BR,The Couch Potatoes,1738195200,21679,2025_5,34,13,18,2,0,0.38,26,0,10,12,0,0,1738200614.57469
50424,51307,Ethereal Blade,The Street Rats,1738195200,21668,2025_5,11,1,9,0,0,0.09,14,11,0,1,0,0.79,1738200614.57469
